cost=[
	 [
[0 0 0 0 0 0 0 0 0 ]
[84 35 95 73 35 54 11 68 55 ]
[39 80 58 12 55 71 36 72 42 ]
[78 91 65 79 57 11 57 13 82 ]
[79 6 85 16 45 47 59 60 39 ]
[91 94 43 74 68 59 66 49 24 ]
[19 52 92 7 9 94 28 83 32 ]
[33 8 39 95 53 45 77 72 72 ]
[76 19 81 5 75 33 28 17 63 ]
[27 66 68 52 30 84 32 22 98 ]
	 ]
	 [
[84 35 95 73 35 54 11 68 55 ]
[0 0 0 0 0 0 0 0 0 ]
[55 89 91 17 99 43 18 49 33 ]
[47 34 48 24 57 0 98 12 89 ]
[62 6 21 79 87 34 0 13 13 ]
[36 2 95 73 74 59 82 36 41 ]
[51 45 92 65 62 83 33 32 0 ]
[95 6 14 96 3 23 18 93 78 ]
[91 23 88 63 74 67 43 90 77 ]
[63 97 64 75 83 48 95 62 29 ]
	 ]
	 [
[39 80 58 12 55 71 36 72 42 ]
[55 89 91 17 99 43 18 49 33 ]
[0 0 0 0 0 0 0 0 0 ]
[71 90 43 9 92 48 91 83 11 ]
[14 85 61 13 87 30 76 81 86 ]
[60 26 28 52 83 71 69 49 72 ]
[1 53 78 7 97 18 12 33 4 ]
[24 37 30 6 74 62 68 39 44 ]
[13 76 44 20 90 4 38 65 98 ]
[80 51 22 46 98 41 77 60 70 ]
	 ]
	 [
[78 91 65 79 57 11 57 13 82 ]
[47 34 48 24 57 0 98 12 89 ]
[71 90 43 9 92 48 91 83 11 ]
[0 0 0 0 0 0 0 0 0 ]
[15 66 18 81 66 69 94 25 21 ]
[40 53 27 57 49 67 91 15 47 ]
[12 3 55 75 16 63 86 7 86 ]
[10 43 41 5 83 34 20 10 9 ]
[99 93 16 15 88 18 79 64 9 ]
[21 93 90 99 7 60 54 36 38 ]
	 ]
	 [
[79 6 85 16 45 47 59 60 39 ]
[62 6 21 79 87 34 0 13 13 ]
[14 85 61 13 87 30 76 81 86 ]
[15 66 18 81 66 69 94 25 21 ]
[0 0 0 0 0 0 0 0 0 ]
[51 72 10 20 64 62 29 28 30 ]
[83 28 12 88 24 73 90 33 65 ]
[61 73 49 12 62 32 90 9 80 ]
[29 63 76 99 22 74 87 42 13 ]
[63 35 98 5 70 20 49 93 5 ]
	 ]
	 [
[91 94 43 74 68 59 66 49 24 ]
[36 2 95 73 74 59 82 36 41 ]
[60 26 28 52 83 71 69 49 72 ]
[40 53 27 57 49 67 91 15 47 ]
[51 72 10 20 64 62 29 28 30 ]
[0 0 0 0 0 0 0 0 0 ]
[52 68 93 87 31 92 57 58 5 ]
[49 16 68 7 32 68 16 26 45 ]
[97 44 38 0 23 65 27 65 78 ]
[29 88 74 92 7 25 86 76 69 ]
	 ]
	 [
[19 52 92 7 9 94 28 83 32 ]
[51 45 92 65 62 83 33 32 0 ]
[1 53 78 7 97 18 12 33 4 ]
[12 3 55 75 16 63 86 7 86 ]
[83 28 12 88 24 73 90 33 65 ]
[52 68 93 87 31 92 57 58 5 ]
[0 0 0 0 0 0 0 0 0 ]
[77 82 36 59 63 53 49 48 44 ]
[52 33 29 18 22 8 46 15 11 ]
[76 22 23 16 65 26 84 88 58 ]
	 ]
	 [
[33 8 39 95 53 45 77 72 72 ]
[95 6 14 96 3 23 18 93 78 ]
[24 37 30 6 74 62 68 39 44 ]
[10 43 41 5 83 34 20 10 9 ]
[61 73 49 12 62 32 90 9 80 ]
[49 16 68 7 32 68 16 26 45 ]
[77 82 36 59 63 53 49 48 44 ]
[0 0 0 0 0 0 0 0 0 ]
[40 89 58 39 51 87 49 62 57 ]
[89 35 24 91 97 68 29 51 52 ]
	 ]
	 [
[76 19 81 5 75 33 28 17 63 ]
[91 23 88 63 74 67 43 90 77 ]
[13 76 44 20 90 4 38 65 98 ]
[99 93 16 15 88 18 79 64 9 ]
[29 63 76 99 22 74 87 42 13 ]
[97 44 38 0 23 65 27 65 78 ]
[52 33 29 18 22 8 46 15 11 ]
[40 89 58 39 51 87 49 62 57 ]
[0 0 0 0 0 0 0 0 0 ]
[28 68 15 81 28 9 18 20 59 ]
	 ]
	 [
[27 66 68 52 30 84 32 22 98 ]
[63 97 64 75 83 48 95 62 29 ]
[80 51 22 46 98 41 77 60 70 ]
[21 93 90 99 7 60 54 36 38 ]
[63 35 98 5 70 20 49 93 5 ]
[29 88 74 92 7 25 86 76 69 ]
[76 22 23 16 65 26 84 88 58 ]
[89 35 24 91 97 68 29 51 52 ]
[28 68 15 81 28 9 18 20 59 ]
[0 0 0 0 0 0 0 0 0 ]
	 ]
];

